Bucket_size,Inference_modifier,Compilation_modifier
5,0.03154574,0.57714353
6,0.03191687,0.60545093
7,0.0337725,0.60591882
8,0.0337725,0.58556556
10,0.03414363,0.63118493
11,0.03451475,0.63726752
12,0.03451475,0.65551526
13,0.03599926,0.60919406
14,0.03637038,0.64405194
16,0.03637038,0.64054275
19,0.03785489,0.71446953
20,0.03785489,0.70745116
21,0.03785489,0.73505673
22,0.03785489,0.7343549
23,0.03822602,0.76313019
24,0.03822602,0.76149257
25,0.03859714,0.75283659
28,0.0393394,0.73856591
29,0.03971052,0.72476313
32,0.03971052,0.75564393
34,0.04267953,0.72102
36,0.04379291,0.7446485
37,0.04416404,0.73505673
38,0.04416404,0.7446485
39,0.04416404,0.72686864
40,0.04416404,0.75470815
42,0.04453516,0.77740087
44,0.04490629,0.77014856
48,0.04490629,0.77061645
49,0.04564854,0.77131828
50,0.04564854,0.80102936
52,0.04601967,0.76336414
53,0.04676192,0.76453386
56,0.04713305,0.82676336
57,0.04750418,0.76476781
58,0.04750418,0.77997427
60,0.04750418,0.7883963
65,0.05121544,0.81249269
66,0.05121544,0.76125863
68,0.05158657,0.7961165
69,0.05195769,0.78395134
70,0.05232882,0.8145982
72,0.05381332,0.81483214
74,0.05418445,0.80290092
76,0.05455558,0.74347877
77,0.0549267,0.74768979
78,0.0549267,0.78699263
80,0.0549267,0.78722658
82,0.05566896,0.77202012
84,0.05604008,0.76289625
86,0.05604008,0.81834133
88,0.05641121,0.794011
90,0.05715346,0.7991578
92,0.05752459,0.83705697
96,0.05789571,0.82114867
98,0.05900909,0.80547432
102,0.06086472,0.76827699
103,0.06383374,0.79190549
104,0.06383374,0.7446485
106,0.06383374,0.80874956
114,0.06457599,0.7472219
116,0.06457599,0.75821734
118,0.06531824,0.74792373
122,0.06568937,0.7755293
124,0.06568937,0.78231372
128,0.06568937,0.94022693
130,0.07496753,0.83658907
132,0.0745964,0.82582758
134,0.07608091,0.82769915
136,0.07608091,0.82395602
140,0.07719428,0.80851562
144,0.07979217,0.79330916
146,0.08127667,0.75517604
148,0.08127667,0.82138262
150,0.08201893,0.7575155
152,0.08239005,0.79728623
160,0.08201893,0.75821734
164,0.08535906,0.80056147
168,0.08573019,0.80149725
172,0.08665801,0.84185285
176,0.08758582,0.80009358
178,0.09092596,0.83331384
180,0.0907404,0.81401333
184,0.09129709,0.80196514
192,0.09185378,1.00163762
196,0.09797736,0.78114399
200,0.09760623,0.8274652
208,0.09946187,0.82465785
210,0.10465764,0.83635513
212,0.10539989,0.81132296
216,0.10577102,0.80383671
224,0.10669883,0.8210317
232,0.10985341,0.79705229
240,0.11263685,0.8055913
242,0.11653368,0.85951573
244,0.11690481,0.80126331
248,0.11653368,0.8120248
252,0.11876044,0.85553866
254,0.12210058,0.86185519
256,0.12933754,0.99578898
264,0.14102802,0.84056615
272,0.14325478,0.80991929
280,0.14659492,0.82910282
288,0.15179068,0.84992397
292,0.15958434,0.80500643
296,0.15884209,0.82465785
304,0.16051215,0.84816938
308,0.16552236,0.8377588
312,0.16478011,0.84173588
320,0.16663574,1.0038601
328,0.17702728,0.79003392
336,0.18036742,0.81319453
352,0.18426424,0.84957305
360,0.19595472,0.89320388
368,0.20077937,0.91051585
376,0.20745964,0.85764417
384,0.21135647,1.01520646
392,0.22601596,0.80453854
400,0.22842828,0.79412797
408,0.23547968,0.83366476
416,0.2364075,0.81413031
424,0.2449434,0.87472219
432,0.24939692,0.85507077
440,0.25459269,0.82348813
448,0.25663388,1.01005966
456,0.27185006,0.82921979
464,0.27314901,0.8223184
472,0.28038597,0.83577027
480,0.28057153,0.83354778
488,0.29003526,0.81986197
496,0.29244758,0.84196982
504,0.30061236,0.81763949
512,0.30061236,1.02819043
520,0.33995175,0.85811206
528,0.34143626,0.88010294
536,0.35127111,0.82571061
544,0.35201336,0.87460522
552,0.36407497,0.80664405
560,0.36778623,0.85413499
576,0.37743552,1.01649316
584,0.40155873,0.81600187
592,0.4032288,0.84395836
600,0.41269252,0.82512575
608,0.41566153,0.85530471
616,0.43291891,0.80371973
624,0.43644461,0.86185519
632,0.44609389,0.8403322
640,0.44535164,1.0274886
648,0.49341251,0.86407767
656,0.49619595,0.86162124
664,0.50473186,0.84407533
672,0.51011319,0.84208679
680,0.52310262,0.82851796
688,0.52495825,0.8523804
704,0.5292262,0.9935665
712,0.575617,0.85249737
720,0.57858601,0.8536671
728,0.58656523,0.83272897
736,0.59157543,0.81366242
744,0.60530711,0.88665341
752,0.6093895,0.80851562
768,0.61588421,0.99766055
776,0.66375951,0.85635747
784,0.66283169,0.86700199
792,0.67415105,0.86127032
800,0.67563555,0.82500877
808,0.69400631,0.80079541
816,0.69827426,0.82032986
832,0.70328447,1.04760791
840,0.75023195,0.89121535
848,0.75839673,0.82921979
856,0.76767489,0.83670605
864,0.7741696,0.85483682
872,0.78771572,0.87413733
880,0.79569493,0.84454322
896,0.79717944,1.00222248
904,0.85934311,0.87016025
912,0.86583782,0.86325886
920,0.87437372,0.82676336
928,0.8845797,0.87179787
936,0.89738356,0.86536437
944,0.90462052,0.82454088
960,0.90313602,1.02175693
968,0.9662275,0.80956837
976,0.97253665,0.85682536
984,0.9803303,0.88630249
992,0.99573205,0.88408001
1024,1,1
1032,1.09556504,0.83705697
1040,1.10317313,0.8544859
1048,1.11801819,0.84302258
1056,1.12970867,0.81880922
1064,1.14937836,0.85039186
1088,1.14622379,1.00304129
1096,1.2273149,0.85998362
1104,1.22954166,0.89086443
1112,1.24011876,0.8467657
1120,1.25366487,0.8588139
1152,1.28001485,1.01813078
1160,1.3820746,0.85413499
1168,1.38393023,0.81787344
1176,1.3961774,0.85085975
1184,1.41009464,0.84770149
1216,1.42493969,1.01216517
1224,1.52885508,0.83717394
1232,1.52941176,0.8845479
1240,1.54425682,0.89273599
1248,1.55334942,0.87132998
1280,1.57765819,0.96174991
1288,1.68157358,0.85273131
1296,1.67823344,0.82185051
1304,1.69790314,0.85904784
1312,1.70179996,0.82921979
1344,1.71868621,1.02257574
1352,1.85711635,0.85390104
1360,1.85284839,0.83272897
1368,1.87622936,0.83436659
1376,1.881054,0.86618318
1408,1.88569308,1.00853901
1416,2.04954537,0.85986665
1424,2.04898868,0.87472219
1432,2.05919466,0.8832612
1440,2.06568937,0.88150661
1472,2.08406012,1.06948181
1488,2.23677862,0.83495146
1496,2.26591204,0.85963271
1504,2.26739655,0.86828869
1536,2.28632399,1.00444496
1552,2.55167935,0.90805942
1560,2.57413249,0.89507545
1600,2.57877157,1.04047257
1616,2.7691594,0.85776114
1624,2.8008907,0.8999883
1632,2.80627204,0.85471985
1664,2.80515866,1.04959644
1680,3.01002041,0.85776114
1688,3.04379291,0.85893087
1728,3.0569679,1.02117207
1736,3.2842828,0.89636215
1744,3.27481908,0.87659375
1752,3.30209686,0.86922447
1792,3.30469475,0.99555504
1800,3.58600854,0.88770616
1808,3.56986454,0.88805708
1816,3.60549267,0.84852029
1824,3.62980145,0.81611884
1856,3.6214511,1.03918587
1872,3.84858044,0.85015791
1880,3.89404342,0.82383905
1888,3.91816664,0.85401801
1920,3.90888848,1.02456428
1936,4.17090369,0.87203182
1944,4.21599555,0.82840098
1984,4.21952125,0.98151831
2000,4.50046391,0.86758685
2048,4.52811282,1.00479588
2064,4.68806829,0.86559832
2112,4.71516051,1.05181893
2128,5.07923548,0.90069014
2136,5.13805901,0.93987601
2176,5.15902765,1.05345654
2192,5.45704212,0.9364838
2240,5.47262943,1.0218739
2304,5.80311746,1.02620189
2368,6.20875858,1.07158732
2384,6.74559287,0.92080945
2432,6.74689182,1.01894958
2496,6.99758768,1.10586033
2560,7.38634255,1.0545093
2624,7.81926146,1.08269973
2688,8.4601967,1.09088782
2752,8.89794025,1.07135337
2816,9.30079792,1.11007135
2880,9.87010577,0.95894257
2944,10.6971609,0.96046321
3008,11.1933568,0.94174757
3072,11.6654296,0.95555036
3136,12.3989608,0.94116271
3200,13.2688811,0.94911686
3264,13.8600854,1.0295941
3328,14.4408981,1.00924085
3392,15.1339766,0.94338519
3456,16.0356281,0.99497017
3520,16.8155502,1.01193122
3584,17.4249397,0.99064218
3648,18.2384487,1.05521114
3712,19.4151048,1.01438765
3776,20.1096678,1.05240379
3840,20.8778994,1.04468359
3904,21.8400445,1.05275471
3968,22.9914641,1.10457363
4032,23.8519206,1.11989706
4096,24.4820932,1.10118142
4160,25.5743181,1.0974383
4224,26.4407126,1.08141303
4288,27.9701243,1.10574336
4352,28.8994248,1.12937186
4416,30.0116905,1.15042695
4480,31.0504732,1.16446368
4544,32.694563,1.14878933
4608,33.7828911,1.18493391
4672,35.1764706,1.22330097
4736,36.4180739,1.20704176
4800,37.8532195,1.25617031
4864,39.0755242,1.28623231
4928,40.37892,1.25605334
4992,41.9495268,1.07193824
5056,43.897198,1.31617733
5120,45.1519762,1.22166335
5184,46.5997402,1.26962218
5216,51.6734088,1.40297111
